explo;Useful_PlotID;Qnum;month;year;date_releves;UAV;m;HHLAI;Biomass_g_per60cm2;Biomass_interpolated;Grass;Forb;Leg;Bare;Litter;Moss;Sen;Morib;Dung;Shrub;Green;Grass_h;Forb_h;Leg_h;RPMcalc_cm;Comments quadrat;Comments plot;LUI_2015_2018;x;y;elevation;slope;soil;grazing;mowing;fertilizer;LUI_2020
A;AEG01;AEG01_01;J;2020;17.06.2020;Parrot;6;4,84;;123,21894;20;73;;4;1;;2;;;;93;;;;35,8;;No flight because of powerline;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_02;J;2020;17.06.2020;Parrot;10,5;3,8;109,41;109,41;10;75;2;7;3;;1;2;;;87;;;;42,2;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_03;J;2020;17.06.2020;Parrot;15;4,28;;120,4895;15;70;1;6;4;;1;3;;;86;;;;35;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_04;J;2020;17.06.2020;Parrot;19,5;5,21;;1,0765;15;78;2;2;1;;2;;;;95;;;;;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_05;J;2020;17.06.2020;Parrot;24;5,52;206,86;206,86;25;68;1;3;2;;1;;;;94;;;;75;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_06;J;2020;17.06.2020;Parrot;28,5;5,56;;1,0765;10;86;1;0,1;1,9;;1;;;;97;;;;;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_07;J;2020;17.06.2020;Parrot;33;5,46;;138,91322;8;91,7;;0,1;0,1;;0,1;;;;100;;;;40,4;it is fine. It is because all the + belong to the brown matter;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_08;J;2020;17.06.2020;Parrot;37,5;4,64;;205,7845;15;74;5;0,1;2;;3,9;;;;94;;;;60;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_09;J;2020;17.06.2020;Parrot;42;5,22;179,15;179,15;50;44;2;0,1;2;;1,9;;;;96;;;;38,6;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG01;AEG01_10;J;2020;17.06.2020;Parrot;46;4,48;;138,23086;41;51;;5;2;;1;;;;92;;;;40,2;;;2,05;525313;5360594;691,03;2,85;Rendzina;0;2,17;4,75;2,63
A;AEG02;AEG02_01;J;2020;18.06.2020;Parrot;6;3,74;;61,12418;40;43;10;5;;;;2;;;93;27;17;19;17,6;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_02;J;2020;18.06.2020;Parrot;10,5;4,29;47,19333333;47,19333333;20;30;46;2;;;;2;;;96;22;22;16;16,2;;intensively managed;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_03;J;2020;18.06.2020;Parrot;15;4,14;;73,40666;37;41;18;3;1;;;;;;94;33;21;15;21,2;;not mown;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_04;J;2020;18.06.2020;Parrot;19,5;4,09;;63,17126;46;40;6;6;;;;2;;;92;28;22;8;18,2;;overcast when flown;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_05;J;2020;18.06.2020;Parrot;24;4,27;43,79333333;43,79333333;20;68;1;10;1;;;;;;89;18;24;5;18,4;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_06;J;2020;18.06.2020;Parrot;28,5;4,13;;67,94778;66;24;1;;4;;;5;;;91;32;24;18;19,6;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_07;J;2020;18.06.2020;Parrot;33;4,64;;60,44182;43;50;;5;2;;;;;;93;26;26;;17,4;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_08;J;2020;18.06.2020;Parrot;37,5;4,35;;76,81846;79;15;;3;2;;;1;;;94;35;24;;22,2;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_09;J;2020;18.06.2020;Parrot;42;4,73;50,26333333;50,26333333;86;9;;;5;;;;;;95;29;21;;19,6;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG02;AEG02_10;J;2020;18.06.2020;Parrot;46;3,62;;54,30058;66;20;;;14;;;;;;86;32;19;;15,6;;;3,7;535010;5358415;752,63;6,18;Rendzina;0;3,25;6,34;3,1
A;AEG03;AEG03_01;J;2020;15.06.2020;Parrot;6;1,93;;56,34766;30;47;7;0,1;4,9;3;3;5;;;84;40;17;17;16,2;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_02;J;2020;15.06.2020;Parrot;10,5;2,35;60,83;60,83;37;42;6;1;6;1;4;3;;;85;38;18;18;18,8;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_03;J;2020;15.06.2020;Parrot;15;2,66;;82,9597;42;39;3;;8;;5;3;;;84;34;16;15;24;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_04;J;2020;15.06.2020;Parrot;19,5;2,31;;62,4889;30;50;9;;4;;5;2;;;89;40;15;15;18;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_05;J;2020;15.06.2020;Parrot;24;3,57;73,6;73,6;58;14;5;9;5;;7;2;;;77;49;15;17;23,2;Ant hive x2;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_06;J;2020;15.06.2020;Parrot;28,5;2,68;;75,45374;31;35;20;1;4;;5;4;;;86;33;26;10;21,8;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_07;J;2020;15.06.2020;Parrot;33;3,3;;52,93586;44;35;10;;3;;5;3;;;89;28;20;15;15,2;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_08;J;2020;15.06.2020;Parrot;37,5;3,06;;46,11226;45;34;12;;4;;3;2;;;91;28;15;15;13,2;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_09;J;2020;15.06.2020;Parrot;42;3,75;90,32;90,32;40;30;20;0,1;4,9;;4;1;;;90;32;18;18;22,4;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG03;AEG03_10;J;2020;15.06.2020;Parrot;46;4,01;;86,3715;30;31;30;0,1;4,9;;3;1;;;91;40;30;17;25;;;1,42;539398;5370311;807,72;3,15;Rendzina;0,1;1,62;0;1,31
A;AEG04;AEG04_01;J;2020;19.06.2020;Parrot;6;;;102,74814;73;6;5;7;;;5;4;;;84;53;24;10;29,8;;rain=>no LAI nor UAV;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_02;J;2020;19.06.2020;Parrot;10,5;;109,7233333;109,7233333;40;29;15;4;4;;8;;;;84;44;41;21;28,2;;grass bent over. Might be problematic for the RPM;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_03;J;2020;19.06.2020;Parrot;15;;;92,51274;54;25;9;1;4;;7;;;;88;43;23;19;26,8;;used for grazing but not recently;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_04;J;2020;19.06.2020;Parrot;19,5;;;91,14802;46;20;21;2;;;8;3;;;87;47;27;17;26,4;;grass covers other plants. Might be problematic for cover estimations.;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_05;J;2020;19.06.2020;Parrot;24;;144,9733333;144,9733333;40;16;6;3;;;35;;;;62;46;21;21;35,6;;Quadrats on western side;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_06;J;2020;19.06.2020;Parrot;28,5;;;88,41858;44;16;16;;;;20;4;;;76;48;28;17;25,6;;;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_07;J;2020;19.06.2020;Parrot;33;;;115,71298;44;16;3;2;;;35;;;;63;47;17;12;33,6;;;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_08;J;2020;19.06.2020;Parrot;37,5;;;91,14802;68;12;2;;;;18;;;;82;43;28;23;26,4;;;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_09;J;2020;19.06.2020;Parrot;42;;307,4633333;307,4633333;80;;;;;;20;;;;80;50;;;27,2;;;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG04;AEG04_10;J;2020;19.06.2020;Parrot;46;;;85,00678;47;3;;;;;50;;;;50;35;56;;24,6;;;1,92;531016;5359610;660,1;10,58;Rendzina;0,72;1,08;2,57;2,09
A;AEG05;AEG05_01;J;2020;16.06.2020;Parrot;6;4,7;;104,79522;48;40;3;;6;;1;2;;;91;50;22;15;30,4;;rainy during flight;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_02;J;2020;16.06.2020;Parrot;10,5;4,57;126,4;126,4;52;40;3;2;3;;;;;;95;50;50;20;32,8;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_03;J;2020;16.06.2020;Parrot;15;4,34;;108,88938;25;48;5;12;5;;;5;;;78;58;45;15;31,6;Ant hive;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_04;J;2020;16.06.2020;Parrot;19,5;4,63;;123,21894;44;40;;4;9;;1;2;;;84;57;55;;35,8;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_05;J;2020;16.06.2020;Parrot;24;4,7;115,9933333;115,9933333;53;24;8;9;4;;1;1;;;85;60;33;11;30,2;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_06;J;2020;16.06.2020;Parrot;28,5;4,51;;115,71298;40;50;1;;9;;;;;;91;70;34;40;33,6;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_07;J;2020;16.06.2020;Parrot;33;4,57;;102,74814;54;30;;1;10;;3;2;;;84;66;34;;29,8;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_08;J;2020;16.06.2020;Parrot;37,5;3,38;;101,38342;40;21;4;18;11;;;6;;;65;55;25;21;29,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_09;J;2020;16.06.2020;Parrot;42;3,52;79,76;79,76;45;35;2;;11;1;1;5;;;82;60;25;12;24,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_10;J;2020;16.06.2020;Parrot;46;4,23;;118,44242;47;40;1;;6;;;6;;;88;70;44;12;34,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG06;AEG06_01;J;2020;16.06.2020;Parrot;6;2,72;;74,08902;48;10;10;10;7;;15;;;;68;30;20;10;21,4;;lower right gcp is too to the north;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_02;J;2020;16.06.2020;Parrot;10,5;3,65;85;85;39;30;1;15;5;;10;;;;70;33;33;12;18,8;;we start counting backwards from upper right;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_03;J;2020;16.06.2020;Parrot;15;3,02;;89,7833;40;26;1;15;3;;15;;;;67;32;20;5;26;;recently rained;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_04;J;2020;16.06.2020;Parrot;19,5;3,02;;89,10094;43;25;;10;1,9;;20;0,1;;;68;32;20;;25,8;;slope ns 2%;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_05;J;2020;16.06.2020;Parrot;24;2,53;77,9;77,9;44;22;1;15;2,9;;15;0,1;;;67;30;17;9;24,2;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_06;J;2020;16.06.2020;Parrot;28,5;3,25;;109,57174;16;18;3;15;3;;45;;;;37;57;26;13;31,8;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_07;J;2020;16.06.2020;Parrot;33;3,64;;99,33634;40;20;8;5;2;;20;5;;;68;57;17;16;28,8;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
