"";"acquired";"anomalous_pixels";"clear_confidence_percent";"clear_percent";"cloud_cover";"cloud_percent";"columns";"epsg_code";"ground_control";"gsd";"heavy_haze_percent";"instrument";"item_type";"light_haze_percent";"origin_x";"origin_y";"pixel_resolution";"provider";"published";"publishing_stage";"quality_category";"rows";"satellite_id";"shadow_percent";"snow_ice_percent";"strip_id";"sun_azimuth";"sun_elevation";"updated";"view_angle";"visible_confidence_percent";"visible_percent";"path";"satellite_azimuth"
"1";"2020-06-01T09:34:59.706219Z";0;99;99;0;0;13209;32632;TRUE;4;0;"PSB.SD";"PSScene4Band";0;527841;5395950;3;"planetscope";"2020-06-02T09:26:02Z";"finalized";"standard";9670;"2263";0;0;"3447901";131,8;56,1;"2020-11-25T20:14:21Z";5;81;100;"./Juni_06_ALB_T1_PSScene4Band_Explorer/files/20200601_093459_70_2263_metadata.json";279,4
"2";"2020-06-01T09:35:02.083874Z";0;98;97;0;2;13217;32632;TRUE;4;0;"PSB.SD";"PSScene4Band";0;523869;5379648;3;"planetscope";"2020-06-02T09:26:02Z";"finalized";"standard";9678;"2263";1;0;"3447901";131,6;56,1;"2020-11-25T20:14:21Z";5;84;98;"./Juni_06_ALB_T1_PSScene4Band_Explorer/files/20200601_093502_08_2263_metadata.json";279,3
"3";"2020-06-01T09:35:04.461529Z";0;96;94;0;4;13220;32632;TRUE;4;0;"PSB.SD";"PSScene4Band";0;519894;5363388;3;"planetscope";"2020-06-02T09:26:02Z";"finalized";"standard";9682;"2263";2;0;"3447901";131,4;56,2;"2020-11-25T20:14:21Z";5;75;96;"./Juni_06_ALB_T1_PSScene4Band_Explorer/files/20200601_093504_46_2263_metadata.json";279,1
"4";"2020-06-01T09:56:33.727326Z";0;99;100;0;0;8981;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;592443;5706255;3;"planetscope";"2020-06-01T22:18:36Z";"finalized";"standard";4573;"1010";0;0;"3448532";145,5;57,2;"2020-06-05T19:36:23Z";4;99;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095633_1010_metadata.json";NA
"5";"2020-06-01T09:56:34.764892Z";0;100;100;0;0;8971;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;590841;5699058;3;"planetscope";"2020-06-02T00:33:01Z";"finalized";"standard";4571;"1010";0;0;"3448532";145,4;57,2;"2020-06-05T22:15:42Z";4;100;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095634_1010_metadata.json";NA
"6";"2020-06-01T09:56:35.801933Z";0;100;100;0;0;8982;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;589203;5691852;3;"planetscope";"2020-06-01T22:18:36Z";"finalized";"standard";4572;"1010";0;0;"3448532";145,3;57,3;"2020-06-05T19:48:05Z";4;100;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095635_1010_metadata.json";NA
"7";"2020-06-01T09:56:36.839499Z";0;100;100;0;0;8982;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;587598;5684646;3;"planetscope";"2020-06-02T00:33:01Z";"finalized";"standard";4577;"1010";0;0;"3448532";145,3;57,3;"2020-06-05T22:51:57Z";4;83;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095636_1010_metadata.json";NA
"8";"2020-06-01T09:56:37.877065Z";0;99;100;0;0;8984;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;585981;5677386;3;"planetscope";"2020-06-02T00:33:01Z";"finalized";"standard";4577;"1010";0;0;"3448532";145,2;57,4;"2020-06-05T22:11:13Z";4;99;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095637_1010_metadata.json";NA
"9";"2020-06-01T09:56:38.914631Z";0;100;100;0;0;8978;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;584367;5670138;3;"planetscope";"2020-06-02T00:33:01Z";"finalized";"standard";4580;"1010";0;0;"3448532";145,1;57,4;"2020-06-05T22:49:15Z";4;100;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095638_1010_metadata.json";NA
"10";"2020-06-01T09:56:39.951673Z";0;99;100;0;0;8970;32632;TRUE;3,9;0;"PS2";"PSScene4Band";0;582747;5662929;3;"planetscope";"2020-06-02T00:33:01Z";"finalized";"standard";4579;"1010";0;0;"3448532";145;57,5;"2020-06-02T13:28:11Z";4;83;100;"./2020_06_01_hai_psscene4band_analytic_sr_udm2/files/20200601_095639_1010_metadata.json";NA
